entry num,variety or pedigree,selection num,source
1,Kharkof,CI1442,Check
2,Scout 66,CI13996,Check
3,TAM-107,PI495594,Check
4,TAM-107*3/TA2460,KS93U206,"KS, USDA"
5,2555 sib/Vona//2180,OK91P648,Oklahoma
6,HBY250A/HGF004,OK93P735,Oklahoma
7,HBY242G/HGF092,OK93P634,Oklahoma
8,TX88V6610/PMV//Mesa,OK92403,Oklahoma
9,Pro 812/Caldwell//TX86D1310,TX91D6913,Texas
10,TX86D1310/Kavkaz//TX86D1308,TX91D6991,Texas
11,TAM-200/Karl,TX92V3108,Texas
12,WVE047*2180/2157*HGE013,HBI0531-A2,Texas
13,TX85V1830/TX84V1307,TX93V5919,Texas
14,TX85V1830/TX84V1307,TX93V5922,Texas
15,TX87V1913/TAM-200,TX93V4927,Texas
16,OK82377/TX81V6603-2,TX92V2519,Texas
17,(TX71A562-6*4/Amigo*4/Largo ('TAM-110'),TXGH12588-105,Texas
18,Mesa/Carson,CO910424,Colorado
19,CO840104/Lamar,CO910748,Colorado
20,HF5761/TAM-105//Bounty Hybrid 203,KS91H153-2,Kansas
21,Karl.HBY385D//2163,KS941064-3,Kansas
22,Karl.HBY385D//2163,KS941064-6,Kansas
23,2180/Karl//2163,KS940935-7-2-1,Kansas
24,2180/Karl//2163,KS940935-125-5-2,Kansas
25,KS82W422/SWM754308//KS831182/KS82W422,KS85W663-11-6-MB,Kansas
26,KS82W418/Stephens,KS84W063-9-39-3-MB,Kansas
27,Bennett/Brule Composite,NE90476,Kansas
28,OK83201/Redland,NE92458,Nebraska
29,NE82413/Colt,NE92646,Nebraska
30,NE85707/Thunderbird,NE93405,Nebraska
31,Bezl/Ctk78//Arthur/Ctk78/3/Bennett/4/Norkan,NE93427,Nebraska
32,Quantum AP7510' Hybrid Wheat,WX92-0408,HybriTech
33,Bulk Selection ('Big Dawg'),W93-460,AgriPro
34,Coker 68-15/TAM-107,T702,Trio
35,T213 sib *2/TAM-107,T834,Trio
36,TAM-107/T213 sib,T812,Trio
37,TAM-107/Caldwell,T861,Trio
38,T68/KS90WGRC10,T89,Trio
39,Sturdy/Plainsman V seln ('G1878'),G1878,Goertzem
