"state","city","reps","line","entry no.","entry yield (kg/ha)","volume weight (kg/hl)","plant heigh (cm)","days to heading from 1/1","lodging 0-9","winter survival%","bacterial stripe 0-9","scab 0-9"
"MISSOURI","COLUMBIA","3","CI1442",1,864,67.4,119,135,5.7,98,3,1.7
"MISSOURI","COLUMBIA","3","CI13996",2,2016,68.4,114,129,5,97,3,3
"MISSOURI","COLUMBIA","3","PI495594",3,3002,65.3,91,120,0,92,4.3,4.3
"MISSOURI","COLUMBIA","3","OK87W663",4,2661,68.1,102,124,0.3,93,5.7,3.3
"MISSOURI","COLUMBIA","3","OK87542",5,2930,68.2,104,124,3.3,97,4.3,3
"MISSOURI","COLUMBIA","3","OK87630",6,3099,64.6,97,120,0,95,6.7,3
"MISSOURI","COLUMBIA","3","OK88767",7,2501,64.2,99,123,0.7,95,6.3,5
"MISSOURI","COLUMBIA","3","OK88W833",8,2540,66.3,99,121,0.3,93,5.3,2.7
"MISSOURI","COLUMBIA","3","TX88V4636",9,2247,55.7,102,125,3,92,3.3,4.3
"MISSOURI","COLUMBIA","3","TX84V1418HF",10,2276,66.2,106,126,3.3,97,4.3,3
"MISSOURI","COLUMBIA","3","TX88V5440",11,2850,65.5,95,122,1.3,93,3.3,4
"MISSOURI","COLUMBIA","3","TX88V4635",12,2280,59.1,103,125,3.7,95,4.7,4.3
"MISSOURI","COLUMBIA","3","TX87V1613",13,2528,65.6,107,122,0.3,90,4,5
"MISSOURI","COLUMBIA","3","TX88V4524",14,1499,59.1,92,124,0,92,7.3,7
"MISSOURI","COLUMBIA","3","TX89V4138",15,2359,67.2,102,122,0.7,97,3.7,4
"MISSOURI","COLUMBIA","3","TX88V5433",16,2953,68.3,98,125,2,98,2,3.7
"MISSOURI","COLUMBIA","3","TX86D1310",17,1844,62.6,97,127,1.7,90,5.7,4
"MISSOURI","COLUMBIA","3","TX86D1332",18,1539,59.5,98,126,3,97,7.3,4.7
"MISSOURI","COLUMBIA","3","TX88D3424",19,1486,55.3,81,120,0.3,92,7,7
"MISSOURI","COLUMBIA","3","CO850034",20,2500,63.6,103,125,3,93,5,5
"MISSOURI","COLUMBIA","3","CO850061",21,2272,59.6,100,124,1.7,93,7.3,5.3
"MISSOURI","COLUMBIA","3","CO860086",22,1412,62.6,97,129,3.7,97,2,4.3
"MISSOURI","COLUMBIA","3","CO860094",23,638,54.9,102,133,6,90,2.7,3
"MISSOURI","COLUMBIA","3","KSSB-369-7",24,2775,66.3,91,119,0.3,100,6,6.3
"MISSOURI","COLUMBIA","3","KSSB-192-3",25,2153,58.5,95,119,0.7,98,6.3,8
"MISSOURI","COLUMBIA","3","HBC197F",26,1717,60.1,95,125,2,93,3.7,6
"MISSOURI","COLUMBIA","3","KS87H6",27,2164,65.2,102,129,2.7,98,3,3
"MISSOURI","COLUMBIA","3","KS88H12-1",28,2695,65.9,100,130,1,97,1.7,2
"MISSOURI","COLUMBIA","3","KS88H12-2",29,2581,66.7,100,127,0.7,92,3.3,2.3
"MISSOURI","COLUMBIA","3","NE87615",30,1449,59.5,97,131,5.7,93,3,4.3
"MISSOURI","COLUMBIA","3","NE87409",31,2152,67.9,107,130,3.7,85,2.3,3.3
"MISSOURI","COLUMBIA","3","NE87451",32,1256,58,93,130,5.3,92,3.3,3.3
"MISSOURI","COLUMBIA","3","NE88595",33,1841,60.5,101,130,3.7,92,2,3.3
"MISSOURI","COLUMBIA","3","NE88427",34,1535,62,104,131,3.7,90,2.7,3.3
"MISSOURI","COLUMBIA","3","XH900",35,1299,58.4,101,125,1.7,92,6.3,4.7
"MISSOURI","COLUMBIA","3","XH1231",36,1449,57.3,102,127,3.3,98,5.7,3
"MISSOURI","COLUMBIA","3","XH1322",37,2274,62,106,124,1.3,93,4.3,3
"MISSOURI","COLUMBIA","3","XH1514",38,1375,58.1,107,129,4.3,95,3.3,3.3
"MISSOURI","COLUMBIA","3","WI88-083",39,1378,56.5,100,129,1,90,3.7,5.7
"MISSOURI","COLUMBIA","3","WI88-024",40,1248,60.5,107,128,2,95,5,4.3
"MISSOURI","COLUMBIA","3","T19-3",41,2699,65.7,107,125,3.3,95,3.3,3.3
"MISSOURI","COLUMBIA","3","T67",42,2676,68.8,110,126,1.7,95,4.3,3
"MISSOURI","COLUMBIA","3","T21-3",43,1674,56.4,103,128,6,98,2.7,4
"MISSOURI","COLUMBIA","3","TH901",44,2715,63.9,103,123,2.7,95,3.3,2.3
"MISSOURI","COLUMBIA","3","TH902",45,2915,64.3,108,123,2,93,3.3,3
"MISSOURI","COLUMBIA","3","SIOUXLAND",46,3090,66.4,116,126,3.7,93,2,2.7
"MISSOURI","COLUMBIA","3","TAM-200",47,2080,63.5,92,125,2,93,2.7,4
"MISSOURI","COLUMBIA","3","KARL",48,3227,71.6,98,123,0.3,97,2.3,3
"MISSOURI","COLUMBIA","3","CENTURY",49,2528,64.5,102,127,3.7,78,2.3,2
