state,city,reps,line,entry,yield (kg/ha)
,,,CI1442,1,
,,,CI13996,2,
,,,PI495594,3,
,,,KS93U206,4,
,,,OK91P648,5,
,,,OK93P735,6,
,,,OK93P634,7,
,,,OK92403,8,
,,,TX91D6913,9,
,,,TX91D6991,10,
,,,TX92V3108,11,
,,,HBI0531-A2,12,
,,,TX93V5919,13,
,,,TX93V5922,14,
,,,TX93V4927,15,
,,,TX92V2519,16,
,,,TXGH12588-105,17,
,,,CO910424,18,
,,,CO910748,19,
,,,KS91H153-2,20,
,,,KS941064-3,21,
,,,KS941064-6,22,
,,,KS940935-7-2-1,23,
,,,KS940935-125-5-2,24,
,,,KS85W663-11-6-MB,25,
,,,KS84W063-9-39-3-MB,26,
,,,NE90476,27,
,,,NE92458,28,
,,,NE92646,29,
,,,NE93405,30,
,,,NE93427,31,
,,,WX92-0408,32,
,,,W93-460,33,
,,,T702,34,
,,,T834,35,
,,,T812,36,
,,,T861,37,
,,,T89,38,
,,,G1878,39,
