state,city,reps,line,entry,yield (kg/ha),volume weight (kg/hl),plant height (cm),days to heading from 1/1,lodging (%)
New Mexico,Clovis (Irr.),3 replications,CI1442,1,2929,73,89,129,58
New Mexico,Clovis (Irr.),3 replications,CI13996,2,2780,73.6,77,128,70
New Mexico,Clovis (Irr.),3 replications,PI495594,3,4215,74.1,75,122,10
New Mexico,Clovis (Irr.),3 replications,OK93617,4,5422,75,65,126,14
New Mexico,Clovis (Irr.),3 replications,OK94P549,5,5004,73.9,78,129,13
New Mexico,Clovis (Irr.),3 replications,OK94P461,6,5460,75,71,125,5
New Mexico,Clovis (Irr.),3 replications,TX91D6825,7,4598,73.7,77,128,23
New Mexico,Clovis (Irr.),3 replications,TX91D6856,8,4951,71,76,129,33
New Mexico,Clovis (Irr.),3 replications,HBG0358,9,5154,74.5,77,125,9
New Mexico,Clovis (Irr.),3 replications,TX94V2327,10,3274,71.5,69,130,87
New Mexico,Clovis (Irr.),3 replications,TX94V3329,11,3419,72.9,67,124,57
New Mexico,Clovis (Irr.),3 replications,TX95V4926,12,4514,73.1,72,128,14
New Mexico,Clovis (Irr.),3 replications,TX95V4933,13,3921,71,72,130,33
New Mexico,Clovis (Irr.),3 replications,TX95V5332,14,3373,73.5,75,130,8
New Mexico,Clovis (Irr.),3 replications,TX94V2130,15,4920,74.2,70,128,23
New Mexico,Clovis (Irr.),3 replications,CO910424,16,5119,73.6,76,126,42
New Mexico,Clovis (Irr.),3 replications,CO920696,17,4208,72.1,69,124,11
New Mexico,Clovis (Irr.),3 replications,CO940700,18,4296,73.9,75,128,15
New Mexico,Clovis (Irr.),3 replications,KS94H147,19,3790,76,76,127,19
New Mexico,Clovis (Irr.),3 replications,KS941064-6,20,4304,72.7,74,125,18
New Mexico,Clovis (Irr.),3 replications,KS940935-125-5-2,21,5544,74.2,80,125,7
New Mexico,Clovis (Irr.),3 replications,KS85W663-11-6-MB,22,4108,73.3,77,128,14
New Mexico,Clovis (Irr.),3 replications,KS84W063-9-39-3-MB,23,4468,74.6,81,128,25
New Mexico,Clovis (Irr.),3 replications,N95L158,24,4438,73.7,70,127,13
New Mexico,Clovis (Irr.),3 replications,NE93405,25,4751,74.3,80,125,17
New Mexico,Clovis (Irr.),3 replications,NE93427,26,4070,73.3,76,126,33
New Mexico,Clovis (Irr.),3 replications,NE93496,27,4461,73.8,87,127,2
New Mexico,Clovis (Irr.),3 replications,NE94632,28,4024,73,77,124,18
New Mexico,Clovis (Irr.),3 replications,W94-042,29,3879,74.9,71,126,21
New Mexico,Clovis (Irr.),3 replications,W94-137,30,4847,77,75,126,1
New Mexico,Clovis (Irr.),3 replications,W94-320,31,4204,72.3,75,129,34
New Mexico,Clovis (Irr.),3 replications,W94-245,32,4549,74.5,73,124,10
New Mexico,Clovis (Irr.),3 replications,W94-435,33,4610,75.5,75,125,8
New Mexico,Clovis (Irr.),3 replications,WX94-3504,34,5161,74.8,74,126,7
New Mexico,Clovis (Irr.),3 replications,WX94-1604,35,4702,74.5,75,121,6
New Mexico,Clovis (Irr.),3 replications,XH1877,36,4966,74.3,72,131,26
New Mexico,Clovis (Irr.),3 replications,XH1881,37,5360,72.9,80,125,22
New Mexico,Clovis (Irr.),3 replications,WX95-2401,38,4706,75.9,71,125,17
New Mexico,Clovis (Irr.),3 replications,T89,39,4327,72.3,72,125,11
New Mexico,Clovis (Irr.),3 replications,T86,40,3216,74.6,75,123,9
New Mexico,Clovis (Irr.),3 replications,T93,41,3656,73.9,75,127,32
New Mexico,Clovis (Irr.),3 replications,T94,42,3944,75.6,79,126,25
New Mexico,Clovis (Irr.),3 replications,G1594,43,4572,74.3,78,129,15
New Mexico,Clovis (Irr.),3 replications,G1720,44,4039,72.8,71,130,38
New Mexico,Clovis (Irr.),3 replications,G12017,45,4005,72,73,129,62
